name,type,sponsoring_org,iana_url
.de,country-code,DENIC eG,https://www.iana.org/domains/root/db/de.html
.deal,generic,"Amazon Registry Services, Inc.",https://www.iana.org/domains/root/db/deal.html
.dealer,generic,"Dealer Dot Com, Inc.",https://www.iana.org/domains/root/db/dealer.html
.deals,generic,"Sand Sunset, LLC",https://www.iana.org/domains/root/db/deals.html
.degree,generic,"United TLD Holdco, Ltd",https://www.iana.org/domains/root/db/degree.html
.delivery,generic,"Steel Station, LLC",https://www.iana.org/domains/root/db/delivery.html
.dell,generic,Dell Inc.,https://www.iana.org/domains/root/db/dell.html
.deloitte,generic,Deloitte Touche Tohmatsu,https://www.iana.org/domains/root/db/deloitte.html
.delta,generic,"Delta Air Lines, Inc.",https://www.iana.org/domains/root/db/delta.html
.democrat,generic,United TLD Holdco Ltd.,https://www.iana.org/domains/root/db/democrat.html
.dental,generic,"Tin Birch, LLC",https://www.iana.org/domains/root/db/dental.html
.dentist,generic,"United TLD Holdco, Ltd",https://www.iana.org/domains/root/db/dentist.html
.desi,generic,Desi Networks LLC,https://www.iana.org/domains/root/db/desi.html
.design,generic,"Top Level Design, LLC",https://www.iana.org/domains/root/db/design.html
.dev,generic,Charleston Road Registry Inc.,https://www.iana.org/domains/root/db/dev.html
.dhl,generic,Deutsche Post AG,https://www.iana.org/domains/root/db/dhl.html
.diamonds,generic,"John Edge, LLC",https://www.iana.org/domains/root/db/diamonds.html
.diet,generic,"Uniregistry, Corp.",https://www.iana.org/domains/root/db/diet.html
.digital,generic,"Dash Park, LLC",https://www.iana.org/domains/root/db/digital.html
.direct,generic,"Half Trail, LLC",https://www.iana.org/domains/root/db/direct.html
.directory,generic,"Extra Madison, LLC",https://www.iana.org/domains/root/db/directory.html
.discount,generic,"Holly Hill, LLC",https://www.iana.org/domains/root/db/discount.html
.discover,generic,Discover Financial Services,https://www.iana.org/domains/root/db/discover.html
.dish,generic,Dish DBS Corporation,https://www.iana.org/domains/root/db/dish.html
.dj,country-code,Djibouti Telecom S.A,https://www.iana.org/domains/root/db/dj.html
.dk,country-code,Dansk Internet Forum,https://www.iana.org/domains/root/db/dk.html
.dm,country-code,DotDM Corporation,https://www.iana.org/domains/root/db/dm.html
.dnp,generic,"Dai Nippon Printing Co., Ltd.",https://www.iana.org/domains/root/db/dnp.html
.do,country-code,"Pontificia Universidad Catolica Madre y Maestra
Recinto Santo Tomas de Aquino",https://www.iana.org/domains/root/db/do.html
.docs,generic,Charleston Road Registry Inc.,https://www.iana.org/domains/root/db/docs.html
.doctor,generic,"Brice Trail, LLC",https://www.iana.org/domains/root/db/doctor.html
.dodge,generic,FCA US LLC.,https://www.iana.org/domains/root/db/dodge.html
.dog,generic,"Koko Mill, LLC",https://www.iana.org/domains/root/db/dog.html
.doha,generic,Communications Regulatory Authority (CRA),https://www.iana.org/domains/root/db/doha.html
.domains,generic,"Sugar Cross, LLC",https://www.iana.org/domains/root/db/domains.html
.doosan,generic,Retired,https://www.iana.org/domains/root/db/doosan.html
.dot,generic,Dish DBS Corporation,https://www.iana.org/domains/root/db/dot.html
.download,generic,dot Support Limited,https://www.iana.org/domains/root/db/download.html
.drive,generic,Charleston Road Registry Inc.,https://www.iana.org/domains/root/db/drive.html
.dtv,generic,Dish DBS Corporation,https://www.iana.org/domains/root/db/dtv.html
.dubai,generic,Dubai Smart Government Department,https://www.iana.org/domains/root/db/dubai.html
.duck,generic,"Johnson Shareholdings, Inc.",https://www.iana.org/domains/root/db/duck.html
.dunlop,generic,The Goodyear Tire & Rubber Company,https://www.iana.org/domains/root/db/dunlop.html
.duns,generic,The Dun & Bradstreet Corporation,https://www.iana.org/domains/root/db/duns.html
.dupont,generic,E. I. du Pont de Nemours and Company,https://www.iana.org/domains/root/db/dupont.html
.durban,generic,ZA Central Registry NPC trading as ZA Central Registry,https://www.iana.org/domains/root/db/durban.html
.dvag,generic,Deutsche Vermögensberatung Aktiengesellschaft DVAG,https://www.iana.org/domains/root/db/dvag.html
.dz,country-code,CERIST,https://www.iana.org/domains/root/db/dz.html
.earth,generic,"Interlink Co., Ltd.",https://www.iana.org/domains/root/db/earth.html
.eat,generic,Charleston Road Registry Inc.,https://www.iana.org/domains/root/db/eat.html
.ec,country-code,NIC.EC (NICEC) S.A.,https://www.iana.org/domains/root/db/ec.html
.edeka,generic,EDEKA Verband kaufmännischer Genossenschaften e.V.,https://www.iana.org/domains/root/db/edeka.html
.edu,sponsored,EDUCAUSE,https://www.iana.org/domains/root/db/edu.html
.education,generic,"Brice Way, LLC",https://www.iana.org/domains/root/db/education.html
.ee,country-code,Eesti Interneti Sihtasutus (EIS),https://www.iana.org/domains/root/db/ee.html
.eg,country-code,"Egyptian Universities Network (EUN)
Supreme Council of Universities",https://www.iana.org/domains/root/db/eg.html
.eh,country-code,Not assigned,https://www.iana.org/domains/root/db/eh.html
.email,generic,"Spring Madison, LLC",https://www.iana.org/domains/root/db/email.html
.emerck,generic,Merck KGaA,https://www.iana.org/domains/root/db/emerck.html
.energy,generic,"Binky Birch, LLC",https://www.iana.org/domains/root/db/energy.html
.engineer,generic,United TLD Holdco Ltd.,https://www.iana.org/domains/root/db/engineer.html
.engineering,generic,Romeo Canyon,https://www.iana.org/domains/root/db/engineering.html
.enterprises,generic,"Snow Oaks, LLC",https://www.iana.org/domains/root/db/enterprises.html
.epost,generic,Deutsche Post AG,https://www.iana.org/domains/root/db/epost.html
.epson,generic,Seiko Epson Corporation,https://www.iana.org/domains/root/db/epson.html
.equipment,generic,"Corn Station, LLC",https://www.iana.org/domains/root/db/equipment.html
.er,country-code,Eritrea Telecommunication Services Corporation (EriTel),https://www.iana.org/domains/root/db/er.html
.ericsson,generic,Telefonaktiebolaget L M Ericsson,https://www.iana.org/domains/root/db/ericsson.html
.erni,generic,ERNI Group Holding AG,https://www.iana.org/domains/root/db/erni.html
.es,country-code,Red.es,https://www.iana.org/domains/root/db/es.html
.esq,generic,Charleston Road Registry Inc.,https://www.iana.org/domains/root/db/esq.html
.estate,generic,"Trixy Park, LLC",https://www.iana.org/domains/root/db/estate.html
.esurance,generic,Esurance Insurance Company,https://www.iana.org/domains/root/db/esurance.html
.et,country-code,Ethio telecom,https://www.iana.org/domains/root/db/et.html
.eu,country-code,EURid vzw/asbl,https://www.iana.org/domains/root/db/eu.html
.eurovision,generic,European Broadcasting Union (EBU),https://www.iana.org/domains/root/db/eurovision.html
.eus,generic,Puntueus Fundazioa,https://www.iana.org/domains/root/db/eus.html
.events,generic,"Pioneer Maple, LLC",https://www.iana.org/domains/root/db/events.html
.everbank,generic,EverBank,https://www.iana.org/domains/root/db/everbank.html
.exchange,generic,"Spring Falls, LLC",https://www.iana.org/domains/root/db/exchange.html
.expert,generic,"Magic Pass, LLC",https://www.iana.org/domains/root/db/expert.html
.exposed,generic,"Victor Beach, LLC",https://www.iana.org/domains/root/db/exposed.html
.express,generic,"Sea Sunset, LLC",https://www.iana.org/domains/root/db/express.html
.extraspace,generic,Extra Space Storage LLC,https://www.iana.org/domains/root/db/extraspace.html
.fage,generic,Fage International S.A.,https://www.iana.org/domains/root/db/fage.html
.fail,generic,"Atomic Pipe, LLC",https://www.iana.org/domains/root/db/fail.html
.fairwinds,generic,"FairWinds Partners, LLC",https://www.iana.org/domains/root/db/fairwinds.html
.faith,generic,dot Faith Limited,https://www.iana.org/domains/root/db/faith.html
.family,generic,United TLD Holdco Ltd.,https://www.iana.org/domains/root/db/family.html
.fan,generic,Asiamix Digital Ltd,https://www.iana.org/domains/root/db/fan.html
.fans,generic,Asiamix Digital Limited,https://www.iana.org/domains/root/db/fans.html
.farm,generic,"Just Maple, LLC",https://www.iana.org/domains/root/db/farm.html
.farmers,generic,Farmers Insurance Exchange,https://www.iana.org/domains/root/db/farmers.html
.fashion,generic,Top Level Domain Holdings Limited,https://www.iana.org/domains/root/db/fashion.html
.fast,generic,"Amazon Registry Services, Inc.",https://www.iana.org/domains/root/db/fast.html
.fedex,generic,Federal Express Corporation,https://www.iana.org/domains/root/db/fedex.html
.feedback,generic,"Top Level Spectrum, Inc.",https://www.iana.org/domains/root/db/feedback.html
.ferrari,generic,Fiat Chrysler Automobiles N.V.,https://www.iana.org/domains/root/db/ferrari.html
.ferrero,generic,Ferrero Trading Lux S.A.,https://www.iana.org/domains/root/db/ferrero.html
.fi,country-code,Finnish Communications Regulatory Authority,https://www.iana.org/domains/root/db/fi.html
.fiat,generic,Fiat Chrysler Automobiles N.V.,https://www.iana.org/domains/root/db/fiat.html
.fidelity,generic,Fidelity Brokerage Services LLC,https://www.iana.org/domains/root/db/fidelity.html
.film,generic,Motion Picture Domain Registry Pty Ltd,https://www.iana.org/domains/root/db/film.html
.final,generic,Núcleo de Informação e Coordenação do Ponto BR - NIC.br,https://www.iana.org/domains/root/db/final.html
.finance,generic,"Cotton Cypress, LLC",https://www.iana.org/domains/root/db/finance.html
.financial,generic,"Just Cover, LLC",https://www.iana.org/domains/root/db/financial.html
.fire,generic,"Amazon Registry Services, Inc.",https://www.iana.org/domains/root/db/fire.html
.firestone,generic,"Bridgestone Licensing Services, Inc.",https://www.iana.org/domains/root/db/firestone.html
.firmdale,generic,Firmdale Holdings Limited,https://www.iana.org/domains/root/db/firmdale.html
.fish,generic,"Fox Woods, LLC",https://www.iana.org/domains/root/db/fish.html
.fishing,generic,Top Level Domain Holdings Limited,https://www.iana.org/domains/root/db/fishing.html
.fit,generic,Minds + Machines Group Limited,https://www.iana.org/domains/root/db/fit.html
.fitness,generic,"Brice Orchard, LLC",https://www.iana.org/domains/root/db/fitness.html
.fj,country-code,"The University of the South Pacific
IT Services",https://www.iana.org/domains/root/db/fj.html
.fk,country-code,Falkland Islands Government,https://www.iana.org/domains/root/db/fk.html
.flickr,generic,Yahoo! Domain Services Inc.,https://www.iana.org/domains/root/db/flickr.html
.flights,generic,"Fox Station, LLC",https://www.iana.org/domains/root/db/flights.html
.flir,generic,"FLIR Systems, Inc.",https://www.iana.org/domains/root/db/flir.html
.florist,generic,"Half Cypress, LLC",https://www.iana.org/domains/root/db/florist.html
.flowers,generic,"Uniregistry, Corp.",https://www.iana.org/domains/root/db/flowers.html
.flsmidth,generic,Retired,https://www.iana.org/domains/root/db/flsmidth.html
.fly,generic,Charleston Road Registry Inc.,https://www.iana.org/domains/root/db/fly.html
.fm,country-code,FSM Telecommunications Corporation,https://www.iana.org/domains/root/db/fm.html
.fo,country-code,FO Council,https://www.iana.org/domains/root/db/fo.html
.foo,generic,Charleston Road Registry Inc.,https://www.iana.org/domains/root/db/foo.html
.foodnetwork,generic,"Lifestyle Domain Holdings, Inc.",https://www.iana.org/domains/root/db/foodnetwork.html
.football,generic,"Foggy Farms, LLC",https://www.iana.org/domains/root/db/football.html
.ford,generic,Ford Motor Company,https://www.iana.org/domains/root/db/ford.html
.forex,generic,DOTFOREX REGISTRY LTD,https://www.iana.org/domains/root/db/forex.html
.forsale,generic,"United TLD Holdco, LLC",https://www.iana.org/domains/root/db/forsale.html
.forum,generic,"Fegistry, LLC",https://www.iana.org/domains/root/db/forum.html
.foundation,generic,"John Dale, LLC",https://www.iana.org/domains/root/db/foundation.html
.fox,generic,"FOX Registry, LLC",https://www.iana.org/domains/root/db/fox.html
.fr,country-code,Association Française pour le Nommage Internet en Coopération (A.F.N.I.C.),https://www.iana.org/domains/root/db/fr.html
.fresenius,generic,Fresenius Immobilien-Verwaltungs-GmbH,https://www.iana.org/domains/root/db/fresenius.html
.frl,generic,FRLregistry B.V.,https://www.iana.org/domains/root/db/frl.html
.frogans,generic,OP3FT,https://www.iana.org/domains/root/db/frogans.html
.frontdoor,generic,"Lifestyle Domain Holdings, Inc.",https://www.iana.org/domains/root/db/frontdoor.html
.frontier,generic,Frontier Communications Corporation,https://www.iana.org/domains/root/db/frontier.html
.ftr,generic,Frontier Communications Corporation,https://www.iana.org/domains/root/db/ftr.html
.fujitsu,generic,Fujitsu Limited,https://www.iana.org/domains/root/db/fujitsu.html
.fujixerox,generic,Xerox DNHC LLC,https://www.iana.org/domains/root/db/fujixerox.html
.fund,generic,"John Castle, LLC",https://www.iana.org/domains/root/db/fund.html
.furniture,generic,"Lone Fields, LLC",https://www.iana.org/domains/root/db/furniture.html
.futbol,generic,"United TLD Holdco, Ltd.",https://www.iana.org/domains/root/db/futbol.html
.fyi,generic,"Silver Tigers, LLC",https://www.iana.org/domains/root/db/fyi.html
.ga,country-code,Agence Nationale des Infrastructures Numériques et des Fréquences (ANINF),https://www.iana.org/domains/root/db/ga.html
.gal,generic,Asociación puntoGAL,https://www.iana.org/domains/root/db/gal.html
.gallery,generic,"Sugar House, LLC",https://www.iana.org/domains/root/db/gallery.html
.gallo,generic,"Gallo Vineyards, Inc.",https://www.iana.org/domains/root/db/gallo.html
.gallup,generic,"Gallup, Inc.",https://www.iana.org/domains/root/db/gallup.html
.game,generic,"Uniregistry, Corp.",https://www.iana.org/domains/root/db/game.html
.games,generic,United TLD Holdco Ltd.,https://www.iana.org/domains/root/db/games.html
.gap,generic,"The Gap, Inc.",https://www.iana.org/domains/root/db/gap.html
.garden,generic,Top Level Domain Holdings Limited,https://www.iana.org/domains/root/db/garden.html
.gb,country-code,Reserved Domain - IANA,https://www.iana.org/domains/root/db/gb.html
.gbiz,generic,Charleston Road Registry Inc.,https://www.iana.org/domains/root/db/gbiz.html
.gd,country-code,The National Telecommunications Regulatory Commission (NTRC),https://www.iana.org/domains/root/db/gd.html
.gdn,generic,"Joint Stock Company ""Navigation-information systems""",https://www.iana.org/domains/root/db/gdn.html
.ge,country-code,Caucasus Online,https://www.iana.org/domains/root/db/ge.html
.gea,generic,GEA Group Aktiengesellschaft,https://www.iana.org/domains/root/db/gea.html
.gent,generic,Combell nv,https://www.iana.org/domains/root/db/gent.html
.genting,generic,Resorts World Inc. Pte. Ltd.,https://www.iana.org/domains/root/db/genting.html
.george,generic,"Wal-Mart Stores, Inc.",https://www.iana.org/domains/root/db/george.html
.gf,country-code,Net Plus,https://www.iana.org/domains/root/db/gf.html
.gg,country-code,Island Networks Ltd.,https://www.iana.org/domains/root/db/gg.html
.ggee,generic,"GMO Internet, Inc.",https://www.iana.org/domains/root/db/ggee.html
.gh,country-code,Network Computer Systems Limited,https://www.iana.org/domains/root/db/gh.html
.gi,country-code,Sapphire Networks,https://www.iana.org/domains/root/db/gi.html
.gift,generic,"Uniregistry, Corp.",https://www.iana.org/domains/root/db/gift.html
.gifts,generic,"Goose Sky, LLC",https://www.iana.org/domains/root/db/gifts.html
.gives,generic,United TLD Holdco Ltd.,https://www.iana.org/domains/root/db/gives.html
.giving,generic,Giving Limited,https://www.iana.org/domains/root/db/giving.html
.gl,country-code,TELE Greenland A/S,https://www.iana.org/domains/root/db/gl.html
.glade,generic,"Johnson Shareholdings, Inc.",https://www.iana.org/domains/root/db/glade.html
.glass,generic,"Black Cover, LLC",https://www.iana.org/domains/root/db/glass.html
.gle,generic,Charleston Road Registry Inc.,https://www.iana.org/domains/root/db/gle.html
.global,generic,Dot Global Domain Registry Limited,https://www.iana.org/domains/root/db/global.html
.globo,generic,Globo Comunicação e Participações S.A,https://www.iana.org/domains/root/db/globo.html
.gm,country-code,GM-NIC,https://www.iana.org/domains/root/db/gm.html
.gmail,generic,Charleston Road Registry Inc.,https://www.iana.org/domains/root/db/gmail.html
.gmbh,generic,"Extra Dynamite, LLC",https://www.iana.org/domains/root/db/gmbh.html
.gmo,generic,"GMO Internet, Inc.",https://www.iana.org/domains/root/db/gmo.html
.gmx,generic,1&1 Mail & Media GmbH,https://www.iana.org/domains/root/db/gmx.html
.gn,country-code,Centre National des Sciences Halieutiques de Boussoura,https://www.iana.org/domains/root/db/gn.html
.godaddy,generic,"Go Daddy East, LLC",https://www.iana.org/domains/root/db/godaddy.html
.gold,generic,"June Edge, LLC",https://www.iana.org/domains/root/db/gold.html
.goldpoint,generic,"YODOBASHI CAMERA CO.,LTD.",https://www.iana.org/domains/root/db/goldpoint.html
.golf,generic,"Lone Falls, LLC",https://www.iana.org/domains/root/db/golf.html
.goo,generic,NTT Resonant Inc.,https://www.iana.org/domains/root/db/goo.html
.goodhands,generic,Allstate Fire and Casualty Insurance Company,https://www.iana.org/domains/root/db/goodhands.html
.goodyear,generic,The Goodyear Tire & Rubber Company,https://www.iana.org/domains/root/db/goodyear.html
.goog,generic,Charleston Road Registry Inc.,https://www.iana.org/domains/root/db/goog.html
.google,generic,Charleston Road Registry Inc.,https://www.iana.org/domains/root/db/google.html
.gop,generic,"Republican State Leadership Committee, Inc.",https://www.iana.org/domains/root/db/gop.html
.got,generic,"Amazon Registry Services, Inc.",https://www.iana.org/domains/root/db/got.html
.gov,sponsored,"General Services Administration
Attn: QTDC, 2E08 (.gov Domain Registration)",https://www.iana.org/domains/root/db/gov.html
.gp,country-code,Networking Technologies Group,https://www.iana.org/domains/root/db/gp.html
.gq,country-code,GETESA,https://www.iana.org/domains/root/db/gq.html
.gr,country-code,ICS-FORTH GR,https://www.iana.org/domains/root/db/gr.html
.grainger,generic,"Grainger Registry Services, LLC",https://www.iana.org/domains/root/db/grainger.html
.graphics,generic,"Over Madison, LLC",https://www.iana.org/domains/root/db/graphics.html
.gratis,generic,"Pioneer Tigers, LLC",https://www.iana.org/domains/root/db/gratis.html
.green,generic,Afilias Limited,https://www.iana.org/domains/root/db/green.html
.gripe,generic,"Corn Sunset, LLC",https://www.iana.org/domains/root/db/gripe.html
.group,generic,"Romeo Town, LLC",https://www.iana.org/domains/root/db/group.html
.gs,country-code,Government of South Georgia and South Sandwich Islands (GSGSSI),https://www.iana.org/domains/root/db/gs.html
.gt,country-code,Universidad del Valle de Guatemala,https://www.iana.org/domains/root/db/gt.html
.gu,country-code,"University of Guam
Computer Center",https://www.iana.org/domains/root/db/gu.html
.guardian,generic,The Guardian Life Insurance Company of America,https://www.iana.org/domains/root/db/guardian.html
.gucci,generic,Guccio Gucci S.p.a.,https://www.iana.org/domains/root/db/gucci.html
.guge,generic,Charleston Road Registry Inc.,https://www.iana.org/domains/root/db/guge.html
.guide,generic,"Snow Moon, LLC",https://www.iana.org/domains/root/db/guide.html
.guitars,generic,"Uniregistry, Corp.",https://www.iana.org/domains/root/db/guitars.html
.guru,generic,"Pioneer Cypress, LLC",https://www.iana.org/domains/root/db/guru.html
.gw,country-code,Autoridade Reguladora Nacional - Tecnologias de Informação e Comunicação da Guiné-Bissau,https://www.iana.org/domains/root/db/gw.html
.gy,country-code,University of Guyana,https://www.iana.org/domains/root/db/gy.html
.hamburg,generic,Hamburg Top-Level-Domain GmbH,https://www.iana.org/domains/root/db/hamburg.html
.hangout,generic,Charleston Road Registry Inc.,https://www.iana.org/domains/root/db/hangout.html
.haus,generic,"United TLD Holdco, LTD.",https://www.iana.org/domains/root/db/haus.html
.hbo,generic,"HBO Registry Services, Inc.",https://www.iana.org/domains/root/db/hbo.html
.hdfc,generic,HOUSING DEVELOPMENT FINANCE CORPORATION LIMITED,https://www.iana.org/domains/root/db/hdfc.html
.hdfcbank,generic,HDFC Bank Limited,https://www.iana.org/domains/root/db/hdfcbank.html
.health,generic,"DotHealth, LLC",https://www.iana.org/domains/root/db/health.html
.healthcare,generic,"Silver Glen, LLC",https://www.iana.org/domains/root/db/healthcare.html
.help,generic,"Uniregistry, Corp.",https://www.iana.org/domains/root/db/help.html
.helsinki,generic,City of Helsinki,https://www.iana.org/domains/root/db/helsinki.html
.here,generic,Charleston Road Registry Inc.,https://www.iana.org/domains/root/db/here.html
.hermes,generic,Hermes International,https://www.iana.org/domains/root/db/hermes.html
.hgtv,generic,"Lifestyle Domain Holdings, Inc.",https://www.iana.org/domains/root/db/hgtv.html
.hiphop,generic,"Uniregistry, Corp.",https://www.iana.org/domains/root/db/hiphop.html
.hisamitsu,generic,"Hisamitsu Pharmaceutical Co.,Inc.",https://www.iana.org/domains/root/db/hisamitsu.html
.hitachi,generic,"Hitachi, Ltd.",https://www.iana.org/domains/root/db/hitachi.html
.hiv,generic,"Uniregistry, Corp.",https://www.iana.org/domains/root/db/hiv.html
.hk,country-code,Hong Kong Internet Registration Corporation Ltd.,https://www.iana.org/domains/root/db/hk.html
.hkt,generic,PCCW-HKT DataCom Services Limited,https://www.iana.org/domains/root/db/hkt.html
.hm,country-code,HM Domain Registry,https://www.iana.org/domains/root/db/hm.html
.hn,country-code,Red de Desarrollo Sostenible Honduras,https://www.iana.org/domains/root/db/hn.html
.hockey,generic,"Half Willow, LLC",https://www.iana.org/domains/root/db/hockey.html
.holdings,generic,"John Madison, LLC",https://www.iana.org/domains/root/db/holdings.html
.holiday,generic,"Goose Woods, LLC",https://www.iana.org/domains/root/db/holiday.html
.homedepot,generic,"Homer TLC, Inc.",https://www.iana.org/domains/root/db/homedepot.html
.homegoods,generic,"The TJX Companies, Inc.",https://www.iana.org/domains/root/db/homegoods.html
.homes,generic,"DERHomes, LLC",https://www.iana.org/domains/root/db/homes.html
.homesense,generic,"The TJX Companies, Inc.",https://www.iana.org/domains/root/db/homesense.html
.honda,generic,"Honda Motor Co., Ltd.",https://www.iana.org/domains/root/db/honda.html
.honeywell,generic,Honeywell GTLD LLC,https://www.iana.org/domains/root/db/honeywell.html
.horse,generic,Top Level Domain Holdings Limited,https://www.iana.org/domains/root/db/horse.html
.host,generic,DotHost Inc.,https://www.iana.org/domains/root/db/host.html
.hosting,generic,"Uniregistry, Corp.",https://www.iana.org/domains/root/db/hosting.html
.hot,generic,"Amazon Registry Services, Inc.",https://www.iana.org/domains/root/db/hot.html
.hoteles,generic,Travel Reservations SRL,https://www.iana.org/domains/root/db/hoteles.html
.hotmail,generic,Microsoft Corporation,https://www.iana.org/domains/root/db/hotmail.html
.house,generic,"Sugar Park, LLC",https://www.iana.org/domains/root/db/house.html
.how,generic,Charleston Road Registry Inc.,https://www.iana.org/domains/root/db/how.html
.hr,country-code,CARNet - Croatian Academic and Research Network,https://www.iana.org/domains/root/db/hr.html
.hsbc,generic,HSBC Holdings PLC,https://www.iana.org/domains/root/db/hsbc.html
.ht,country-code,Consortium FDS/RDDH,https://www.iana.org/domains/root/db/ht.html
.htc,generic,HTC corporation,https://www.iana.org/domains/root/db/htc.html
.hu,country-code,Council of Hungarian Internet Providers (CHIP),https://www.iana.org/domains/root/db/hu.html
.hughes,generic,Hughes Satellite Systems Corporation,https://www.iana.org/domains/root/db/hughes.html
.hyatt,generic,"Hyatt GTLD, L.L.C.",https://www.iana.org/domains/root/db/hyatt.html
.hyundai,generic,Hyundai Motor Company,https://www.iana.org/domains/root/db/hyundai.html
.ibm,generic,International Business Machines Corporation,https://www.iana.org/domains/root/db/ibm.html
.icbc,generic,Industrial and Commercial Bank of China Limited,https://www.iana.org/domains/root/db/icbc.html
.ice,generic,"IntercontinentalExchange, Inc.",https://www.iana.org/domains/root/db/ice.html
.icu,generic,One.com A/S,https://www.iana.org/domains/root/db/icu.html
.id,country-code,Perkumpulan Pengelola Nama Domain Internet Indonesia (PANDI),https://www.iana.org/domains/root/db/id.html
.ie,country-code,"University College Dublin
Computing Services
Computer Centre",https://www.iana.org/domains/root/db/ie.html
.ieee,generic,IEEE Global LLC,https://www.iana.org/domains/root/db/ieee.html
.ifm,generic,ifm electronic gmbh,https://www.iana.org/domains/root/db/ifm.html
.iinet,generic,Connect West Pty. Ltd.,https://www.iana.org/domains/root/db/iinet.html
.ikano,generic,Ikano S.A.,https://www.iana.org/domains/root/db/ikano.html
.il,country-code,Internet Society of Israel,https://www.iana.org/domains/root/db/il.html
.im,country-code,Isle of Man Government,https://www.iana.org/domains/root/db/im.html
.imamat,generic,Fondation Aga Khan (Aga Khan Foundation),https://www.iana.org/domains/root/db/imamat.html
.imdb,generic,"Amazon Registry Services, Inc.",https://www.iana.org/domains/root/db/imdb.html
.immo,generic,"Auburn Bloom, LLC",https://www.iana.org/domains/root/db/immo.html
.immobilien,generic,United TLD Holdco Ltd.,https://www.iana.org/domains/root/db/immobilien.html
.in,country-code,National Internet Exchange of India,https://www.iana.org/domains/root/db/in.html
.industries,generic,"Outer House, LLC",https://www.iana.org/domains/root/db/industries.html
.infiniti,generic,"NISSAN MOTOR CO., LTD.",https://www.iana.org/domains/root/db/infiniti.html
.info,generic,Afilias Limited,https://www.iana.org/domains/root/db/info.html
.ing,generic,Charleston Road Registry Inc.,https://www.iana.org/domains/root/db/ing.html
.ink,generic,"Top Level Design, LLC",https://www.iana.org/domains/root/db/ink.html
.institute,generic,"Outer Maple, LLC",https://www.iana.org/domains/root/db/institute.html
.insurance,generic,fTLD Registry Services LLC,https://www.iana.org/domains/root/db/insurance.html
.insure,generic,"Pioneer Willow, LLC",https://www.iana.org/domains/root/db/insure.html
.int,sponsored,Internet Assigned Numbers Authority,https://www.iana.org/domains/root/db/int.html
.intel,generic,Intel Corporation,https://www.iana.org/domains/root/db/intel.html
.international,generic,"Wild Way, LLC",https://www.iana.org/domains/root/db/international.html
.intuit,generic,"Intuit Administrative Services, Inc.",https://www.iana.org/domains/root/db/intuit.html
.investments,generic,"Holly Glen, LLC",https://www.iana.org/domains/root/db/investments.html
.io,country-code,"IO Top Level Domain Registry
Cable and Wireless",https://www.iana.org/domains/root/db/io.html
.ipiranga,generic,Ipiranga Produtos de Petroleo S.A.,https://www.iana.org/domains/root/db/ipiranga.html
.iq,country-code,Communications and Media Commission (CMC),https://www.iana.org/domains/root/db/iq.html
.ir,country-code,Institute for Research in Fundamental Sciences,https://www.iana.org/domains/root/db/ir.html
.irish,generic,Dot-Irish LLC,https://www.iana.org/domains/root/db/irish.html
.is,country-code,ISNIC - Internet Iceland ltd.,https://www.iana.org/domains/root/db/is.html
.iselect,generic,iSelect Ltd,https://www.iana.org/domains/root/db/iselect.html
.ismaili,generic,Fondation Aga Khan (Aga Khan Foundation),https://www.iana.org/domains/root/db/ismaili.html
.ist,generic,Istanbul Metropolitan Municipality,https://www.iana.org/domains/root/db/ist.html
.istanbul,generic,Istanbul Metropolitan Municipality,https://www.iana.org/domains/root/db/istanbul.html
.it,country-code,IIT - CNR,https://www.iana.org/domains/root/db/it.html
.itau,generic,Itau Unibanco Holding S.A.,https://www.iana.org/domains/root/db/itau.html
.itv,generic,ITV Services Limited,https://www.iana.org/domains/root/db/itv.html
.iwc,generic,Richemont DNS Inc.,https://www.iana.org/domains/root/db/iwc.html
.jaguar,generic,Jaguar Land Rover Ltd,https://www.iana.org/domains/root/db/jaguar.html
.java,generic,Oracle Corporation,https://www.iana.org/domains/root/db/java.html
.jcb,generic,"JCB Co., Ltd.",https://www.iana.org/domains/root/db/jcb.html
.jcp,generic,"JCP Media, Inc.",https://www.iana.org/domains/root/db/jcp.html
.je,country-code,Island Networks (Jersey) Ltd.,https://www.iana.org/domains/root/db/je.html
.jeep,generic,FCA US LLC.,https://www.iana.org/domains/root/db/jeep.html
.jetzt,generic,"Wild Frostbite, LLC",https://www.iana.org/domains/root/db/jetzt.html
.jewelry,generic,"Wild Bloom, LLC",https://www.iana.org/domains/root/db/jewelry.html
.jlc,generic,Richemont DNS Inc.,https://www.iana.org/domains/root/db/jlc.html
.jll,generic,Jones Lang LaSalle Incorporated,https://www.iana.org/domains/root/db/jll.html
.jm,country-code,University of West Indies,https://www.iana.org/domains/root/db/jm.html
.jmp,generic,Matrix IP LLC,https://www.iana.org/domains/root/db/jmp.html
.jnj,generic,"Johnson & Johnson Services, Inc.",https://www.iana.org/domains/root/db/jnj.html
.jo,country-code,National Information Technology Center (NITC),https://www.iana.org/domains/root/db/jo.html
.jobs,sponsored,Employ Media LLC,https://www.iana.org/domains/root/db/jobs.html
.joburg,generic,ZA Central Registry NPC trading as ZA Central Registry,https://www.iana.org/domains/root/db/joburg.html
.jot,generic,"Amazon Registry Services, Inc.",https://www.iana.org/domains/root/db/jot.html
